0=rho, 1=P, 2=SoundSpeed, 3=Cp, 4=Entropy, 5=Mu, 6=Kt, 7=dpdrho_e, 8=dpde_rho, 9=dTdrho_e, 10=dTde_rho, 11=T, 12=StaticEnergy, 13=Enthalpy
      0.56576884E+02      0.50000153E+07      0.33241858E+03      0.10814408E+04      0.24282770E+04      0.23926736E-04      0.34035789E-01      0.88394596E+05      0.14152938E+02      0.94504510E+00      0.12004163E+01      0.48688910E+03      0.57705147E+06      0.66542705E+06
      0.72932506E+02      0.65112104E+07      0.33522996E+03      0.11067939E+04      0.23891941E+04      0.24500278E-04      0.35308203E-01      0.89740673E+05      0.18493849E+02      0.77263921E+00      0.11869500E+01      0.49537438E+03      0.58041333E+06      0.66969053E+06
      0.60947955E+02      0.60655341E+07      0.35256127E+03      0.11073098E+04      0.25028905E+04      0.26216110E-04      0.38643956E-01      0.10035168E+06      0.14666088E+02      0.10590802E+01      0.11552960E+01      0.54139573E+03      0.62237693E+06      0.72189682E+06
      0.83943224E+02      0.50940890E+07      0.27761137E+03      0.11430811E+04      0.21199893E+04      0.19116166E-04      0.25282519E-01      0.59348045E+05      0.24511457E+02      0.33260400E+00      0.12828125E+01      0.36876579E+03      0.47523028E+06      0.53591521E+06
      0.96734643E+02      0.63585925E+07      0.28958494E+03      0.11588177E+04      0.21435201E+04      0.20571468E-04      0.28051304E-01      0.64964434E+05      0.27806741E+02      0.36466282E+00      0.12530105E+01      0.39586721E+03      0.49318406E+06      0.55891638E+06
      0.75970817E+02      0.57670040E+07      0.30970358E+03      0.11012860E+04      0.22717190E+04      0.21935206E-04      0.30371302E-01      0.75463840E+05      0.20468643E+02      0.57131534E+00      0.12366738E+01      0.43424440E+03      0.52923297E+06      0.60514375E+06
      0.51728594E+02      0.66619306E+07      0.39880135E+03      0.11551470E+04      0.27457118E+04      0.31467200E-04      0.49466634E-01      0.13105911E+06      0.11239886E+02      0.17211748E+01      0.10684167E+01      0.68290517E+03      0.75189454E+06      0.88068077E+06
      0.76485002E+02      0.51069231E+07      0.29073440E+03      0.11074644E+04      0.21902868E+04      0.20097981E-04      0.26956279E-01      0.65717092E+05      0.21546078E+02      0.44069320E+00      0.12717415E+01      0.39280220E+03      0.49606022E+06      0.56283047E+06
      0.50384903E+02      0.63422985E+07      0.39423888E+03      0.11485697E+04      0.27313008E+04      0.30935788E-04      0.48325668E-01      0.12790568E+06      0.11014903E+02      0.17157629E+01      0.10762369E+01      0.66858714E+03      0.73880545E+06      0.86468241E+06
      0.53342104E+02      0.57668309E+07      0.36640441E+03      0.11156176E+04      0.25933825E+04      0.27713786E-04      0.41627304E-01      0.10922736E+06      0.12347365E+02      0.13391231E+01      0.11285410E+01      0.58174328E+03      0.65934210E+06      0.76745241E+06
